Activiteits-ID,Datum van activiteit,Naam activiteit,Activiteitstype,Beschrijving van activiteit,Verstreken tijd,Afstand,Vergelijkbare poging,Forenzenrit,Uitrusting voor activiteit,Bestandsnaam,Gewicht sporter,Gewicht fiets,Verstreken tijd,Beweegtijd,Afstand,Max. snelheid,Gemiddelde snelheid,Hoogteverschil,Hoogteverlies,Kleinste hoogte,Grootste hoogte,Max. stijgingspercentage,Gemiddeld stijgingspercentage,Gemiddeld positief stijgingspercentage,Gemiddeld negatief stijgingspercentage,Gemiddelde cadans,Max. cadans,Max. hartslag,Gemiddelde hartslag,Maximaal wattage,Gemiddeld wattage,Calorieën,Maximale temperatuur,Gemiddelde temperatuur,Vergelijkbare poging,Totale arbeid,Aantal hardloopsessies,Tijd bergop,Tijd bergaf,Andere tijd,Ervaren inspanning,Gewogen gemiddeld vermogen,Aantal vermogensgegevens,Voorkeur voor ervaren inspanning,Ervaren vergelijkbare poging,Forenzenrit,Totaal geheven gewicht,Van upload,Aan stijgingspercentage aangepaste afstand,Tijd weerbeeld,Weersomstandigheden,Buitentemperatuur,Gevoelstemperatuur,Dauwpunt,Vochtigheid,Luchtdruk,Windsnelheid,Windstoot,Windrichting,Neerslagintensiteit,Tijd zonsopgang,Tijd zonsondergang,Maanstand,Fiets,Uitrusting,Kans op neerslag,Type neerslag,Bewolking,Zicht,UV-index,Ozonwaarde
1050466088,23 jun. 2017 15:52:12,Middagloop,Hardloopsessie,,1459,"4,73",,false,,activities/1050466088.gpx,0.0,,1459.0,1451.0,4731.5,4.900000095367432,,28.78860092163086,,16.0,24.0,23.399999618530273,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565072,17 apr. 2013 15:02:15,Middagloop,Hardloopsessie,"",2010,"5,70",,false,,activities/1380243100.gpx.gz,0.0,,2010.0,2010.0,5704.2998046875,6.099999904632568,,114.65499877929688,,53.0,106.80000305175781,31.100000381469727,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565075,15 apr. 2013 15:24:53,Middagloop,Hardloopsessie,"",2121,"5,76",,false,,activities/1380243099.gpx.gz,0.0,,2121.0,2121.0,5765.2998046875,5.199999809265137,,117.88300323486328,,53.0,107.0,29.100000381469727,0.010407100431621075,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565079,6 mei 2013 15:39:08,Middagloop,Hardloopsessie,"",1975,"5,71",,false,,activities/1380243105.gpx.gz,0.0,,1975.0,1975.0,5712.10009765625,4.300000190734863,,115.10700225830078,,53.0,106.80000305175781,30.200000762939453,-0.0035013400483876467,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565082,20 mei 2013 15:27:34,Middagloop,Hardloopsessie,"",1906,"5,61",,false,,activities/1380243111.gpx.gz,0.0,,1906.0,1870.0,5614.2001953125,5.300000190734863,,118.13800048828125,,53.0,107.0,32.900001525878906,-0.005343589931726456,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565087,8 mei 2013 15:45:45,Middagloop,Hardloopsessie,"",1934,"5,69",,false,,activities/1380243106.gpx.gz,0.0,,1934.0,1934.0,5689.5,5.0,,127.03800201416016,,52.20000076293945,106.80000305175781,28.700000762939453,-0.0017576200189068913,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565088,16 aug. 2013 15:11:12,Middagloop,Hardloopsessie,"",2148,"5,71",,false,,activities/1380243115.gpx.gz,0.0,,2148.0,2134.0,5711.2001953125,5.0,,114.13800048828125,,53.0,106.9000015258789,34.29999923706055,-0.0017509500030428171,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565090,12 mei 2013 16:51:07,Avondloop,Hardloopsessie,"",1815,"5,67",,false,,activities/1380243108.gpx.gz,0.0,,1815.0,1815.0,5676.2998046875,8.5,,107.15699768066406,,53.0,106.9000015258789,19.600000381469727,-0.001761710038408637,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565091,13 jun. 2013 16:59:14,Avondloop,Hardloopsessie,"",2757,"6,66",,false,,activities/1380243112.gpx.gz,0.0,,2757.0,2511.0,6665.2998046875,7.099999904632568,,118.93699645996094,,53.0,107.0,31.799999237060547,0.01800370030105114,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565092,13 apr. 2013 16:28:08,Avondloop,Hardloopsessie,"",2219,"5,78",,false,,activities/1380243098.gpx.gz,0.0,,2219.0,2066.0,5782.89990234375,5.699999809265137,,115.96399688720703,,53.0,106.80000305175781,27.100000381469727,0.0017292399425059557,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565096,23 sep. 2013 17:00:50,Avondloop,Hardloopsessie,"",1974,"5,69",,false,,activities/1380243119.gpx.gz,0.0,,1974.0,1974.0,5691.7998046875,5.699999809265137,,115.63300323486328,,53.0,106.80000305175781,32.599998474121094,0.005270740017294884,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565097,22 apr. 2013 15:28:33,Middagloop,Hardloopsessie,"",1960,"5,71",,false,,activities/1380243101.gpx.gz,0.0,,1960.0,1951.0,5712.60009765625,6.0,,114.74700164794922,,53.0,106.80000305175781,32.599998474121094,-0.0035010299179702997,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565099,28 sep. 2013 16:41:25,Avondloop,Hardloopsessie,"",1963,"5,70",,false,,activities/1380243121.gpx.gz,0.0,,1963.0,1963.0,5701.7001953125,5.599999904632568,,115.65499877929688,,53.0,106.80000305175781,28.899999618530273,-0.001753860036842525,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565102,21 sep. 2013 16:20:52,Avondloop,Hardloopsessie,"",1994,"5,72",,false,,activities/1380243117.gpx.gz,0.0,,1994.0,1994.0,5725.10009765625,4.300000190734863,,116.3499984741211,,53.0,106.9000015258789,30.200000762939453,-0.001746690017171204,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565103,26 okt. 2013 16:36:31,Avondloop,Hardloopsessie,"",1941,"5,72",,false,,activities/1380243125.gpx.gz,0.0,,1941.0,1927.0,5727.2998046875,5.5,,115.72599792480469,,53.0,106.80000305175781,30.5,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565116,18 sep. 2016 15:44:20,Middagloop,Hardloopsessie,"",1565,"4,60",,false,,activities/1380243133.gpx.gz,0.0,,1565.0,1565.0,4600.60009765625,5.099999904632568,,23.343299865722656,,16.0,24.0,8.300000190734863,-0.013041799888014793,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565120,12 jul. 2016 17:46:48,Avondloop,Hardloopsessie,"",1473,"4,72",,false,,activities/1380243129.gpx.gz,0.0,,1473.0,1464.0,4724.2998046875,5.199999809265137,,27.06999969482422,,16.0,24.0,7.900000095367432,-0.0021167199593037367,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565127,15 okt. 2016 07:45:07,Ochtendloop,Hardloopsessie,"",1509,"4,75",,false,,activities/1380243145.gpx.gz,0.0,,1509.0,1509.0,4751.89990234375,11.100000381469727,,27.363300323486328,,16.0,24.0,7.699999809265137,-0.00210441998206079,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565128,29 sep. 2016 08:26:34,Ochtendloop,Hardloopsessie,"",1505,"4,81",,false,,activities/1380243141.gpx.gz,0.0,,1505.0,1505.0,4815.7998046875,4.400000095367432,,23.13330078125,,16.0,24.0,7.900000095367432,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565129,7 nov. 2016 10:39:59,Middagloop,Hardloopsessie,"",1718,"4,88",,false,,activities/1380243150.gpx.gz,0.0,,1718.0,1532.0,4887.39990234375,4.699999809265137,,28.13330078125,,11.899999618530273,22.0,10.899999618530273,-0.008184310048818588,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565130,23 sep. 2016 07:54:50,Ochtendloop,Hardloopsessie,"",1517,"4,91",,false,,activities/1380243136.gpx.gz,0.0,,1517.0,1517.0,4912.7998046875,9.300000190734863,,30.58329963684082,,14.399999618530273,27.700000762939453,12.100000381469727,0.044780999422073364,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565133,4 nov. 2016 10:28:43,Middagloop,Hardloopsessie,"",1476,"4,74",,false,,activities/1380243149.gpx.gz,0.0,,1476.0,1468.0,4748.89990234375,4.900000095367432,,29.649999618530273,,13.699999809265137,24.0,7.900000095367432,0.010528800077736378,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565136,24 nov. 2016 08:42:42,Ochtendloop,Hardloopsessie,"",1684,"4,87",,false,,activities/1380243151.gpx.gz,0.0,,1684.0,1544.0,4877.0,4.5,,23.233299255371094,,16.0,24.0,8.100000381469727,0.02050440013408661,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565997,8 sep. 2017 09:36:54,Middagloop,Hardloopsessie,"",1526,"4,72",,false,,activities/1380243945.gpx.gz,0.0,,1526.0,1461.0,4719.5,4.400000095367432,,27.45330047607422,,16.0,24.0,7.699999809265137,0.010594299994409084,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273565998,28 jun. 2017 15:50:04,Middagloop,Hardloopsessie,"",1614,"5,14",,false,,activities/1380243942.gpx.gz,0.0,,1614.0,1597.0,5142.2998046875,4.699999809265137,,23.516700744628906,,14.0,26.0,9.199999809265137,0.0038893099408596754,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273566003,17 sep. 2017 16:14:02,Avondloop,Hardloopsessie,"",1624,"5,09",,false,,activities/1380243951.gpx.gz,0.0,,1624.0,1544.0,5095.10009765625,6.400000095367432,,20.25670051574707,,14.0,24.0,6.800000190734863,0.009813349694013596,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273566010,6 sep. 2017 14:34:36,Middagloop,Hardloopsessie,"",1534,"4,70",,false,,activities/1380243944.gpx.gz,0.0,,1534.0,1476.0,4708.7001953125,4.099999904632568,,27.266700744628906,,16.0,24.0,7.800000190734863,0.02548469975590706,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273566012,10 sep. 2017 14:54:45,Middagloop,Hardloopsessie,"",1672,"5,25",,false,,activities/1380243947.gpx.gz,0.0,,1672.0,1672.0,5253.2998046875,4.400000095367432,,20.649999618530273,,14.0,24.0,7.099999904632568,-0.0019035700242966413,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273566013,2 okt. 2017 14:58:29,Middagloop,Hardloopsessie,"",2047,"6,14",,false,,activities/1380243959.gpx.gz,0.0,,2047.0,1931.0,6143.7001953125,4.5,,22.729999542236328,,14.0,23.0,6.400000095367432,0.0016276800306513906,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273566015,28 sep. 2017 14:50:59,Middagloop,Hardloopsessie,"",1677,"5,09",,false,,activities/1380243955.gpx.gz,0.0,,1677.0,1677.0,5091.7998046875,5.400000095367432,,20.283300399780273,,14.0,24.0,7.400000095367432,0.011783700436353683,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273566017,15 sep. 2017 08:43:18,Ochtendloop,Hardloopsessie,"",1638,"5,15",,false,,activities/1380243949.gpx.gz,0.0,,1638.0,1638.0,5157.39990234375,4.800000190734863,,20.433300018310547,,14.0,24.0,7.5,0.0038779200986027718,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273566019,20 sep. 2017 13:36:12,Middagloop,Hardloopsessie,"",1804,"5,61",,false,,activities/1380243953.gpx.gz,0.0,,1804.0,1700.0,5611.10009765625,5.699999809265137,,26.573299407958984,,14.0,26.0,9.699999809265137,0.005346550140529871,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273566021,4 okt. 2017 15:23:57,Middagloop,Hardloopsessie,"",2124,"6,81",,false,,activities/1380243965.gpx.gz,0.0,,2124.0,2020.0,6816.7001953125,4.699999809265137,,26.683300018310547,,14.0,24.899999618530273,7.599999904632568,0.004400960169732571,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273566023,16 okt. 2017 08:34:10,Ochtendloop,Hardloopsessie,"",1871,"6,04",,false,,activities/1380243974.gpx.gz,0.0,,1871.0,1871.0,6047.7998046875,5.599999904632568,,23.72330093383789,,16.0,24.0,6.800000190734863,-0.003306990023702383,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273566027,25 okt. 2017 14:47:21,Middagloop,Hardloopsessie,"",1610,"5,29",,false,,activities/1380243979.gpx.gz,0.0,,1610.0,1610.0,5296.60009765625,4.800000190734863,,20.42329978942871,,16.0,24.0,7.599999904632568,0.005664010066539049,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273566028,26 okt. 2017 15:49:08,Middagloop,Hardloopsessie,"",2385,"5,76",,false,,activities/1380243981.gpx.gz,0.0,,2385.0,1605.0,5759.7001953125,4.400000095367432,,15.16670036315918,,17.0,25.0,7.199999809265137,-0.010417199693620205,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273566029,9 okt. 2017 14:52:26,Middagloop,Hardloopsessie,"",2006,"6,40",,false,,activities/1380243969.gpx.gz,0.0,,2006.0,2006.0,6400.7001953125,5.0,,27.850000381469727,,16.0,24.0,8.199999809265137,0.001562330056913197,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273566030,18 okt. 2017 15:10:41,Middagloop,Hardloopsessie,"",2133,"7,01",,false,,activities/1380243978.gpx.gz,0.0,,2133.0,2133.0,7011.2001953125,4.400000095367432,,21.983299255371094,,16.0,24.0,7.400000095367432,-0.005705160088837147,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273566035,13 nov. 2017 10:10:07,Middagloop,Hardloopsessie,"",1822,"6,21",,false,,activities/1380243992.gpx.gz,0.0,,1822.0,1822.0,6209.7998046875,5.0,,23.886699676513672,,14.0,24.0,6.900000095367432,0.008051790297031403,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273566037,9 nov. 2017 15:21:20,Middagloop,Hardloopsessie,"",1505,"5,06",,false,,activities/1380243987.gpx.gz,0.0,,1505.0,1505.0,5059.2001953125,5.599999904632568,,23.683300018310547,,14.0,24.0,9.399999618530273,-0.011859600432217121,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273566042,30 okt. 2017 16:28:01,Middagloop,Hardloopsessie,"",1462,"5,11",,false,,activities/1380243984.gpx.gz,0.0,,1462.0,1462.0,5117.89990234375,4.800000190734863,,20.38330078125,,14.0,24.0,7.199999809265137,0.003907850012183189,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1273566043,12 okt. 2017 14:01:34,Middagloop,Hardloopsessie,"",2087,"6,64",,false,,activities/1380243970.gpx.gz,0.0,,2087.0,1979.0,6642.7001953125,4.599999904632568,,26.34670066833496,,16.0,24.799999237060547,6.900000095367432,0.003010819898918271,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1764378324,11 aug. 2018 08:07:36,Stelvio,Fietsrit,,9259,"25,60",,false,,activities/1764378324.gpx,0.0,,9259.0,8247.0,25601.400390625,13.600000381469727,,1782.5142822265625,,1195.9000244140625,2763.0,49.900001525878906,5.573132514953613,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1796602265,25 aug. 2018 07:11:22,ODS,Fietsrit,,19248,"101,74",,false,,activities/1796602265.gpx,0.0,,19248.0,15903.0,101742.1015625,14.699999809265137,,1055.1748046875,,42.0,223.0,39.5,-0.027422277256846428,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1802417678,28 aug. 2018 08:04:14,Morning run,Hardloopsessie,,1942,"6,00",,false,,activities/1802417678.gpx,0.0,,1942.0,1905.0,6007.60009765625,5.599999904632568,,18.391849517822266,,46.79999923706055,54.0,15.899999618530273,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1813756265,2 sep. 2018 07:21:25,Ochtendrit,Fietsrit,,10928,"63,49",,false,,activities/1813756265.gpx,0.0,,10928.0,9670.0,63496.0,13.399999618530273,,664.992431640625,,46.5,218.0,42.79999923706055,0.00913443323224783,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1818198012,4 sep. 2018 07:54:42,Ochtendloop,Hardloopsessie,,1998,"6,30",,false,,activities/1818198012.gpx,0.0,,1998.0,1987.0,6299.89990234375,4.800000190734863,,19.828521728515625,,46.79999923706055,54.0,15.699999809265137,-0.009523960761725903,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1826668873,8 sep. 2018 07:26:14,Ochtendloop,Hardloopsessie,,1894,"6,21",,false,,activities/1826668873.gpx,0.0,,1894.0,1879.0,6218.10009765625,6.099999904632568,,15.535714149475098,,46.29999923706055,54.0,7.900000095367432,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1833818459,11 sep. 2018 08:00:44,Ochtendloop,Hardloopsessie,,2162,"7,01",,false,,activities/1833818459.gpx,0.0,,2162.0,2158.0,7013.10009765625,5.599999904632568,,19.295860290527344,,46.400001525878906,54.0,8.5,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1838335694,13 sep. 2018 07:45:47,Ochtendloop,Hardloopsessie,,2453,"7,79",,false,,activities/1838335694.gpx,0.0,,2453.0,2434.0,7796.10009765625,5.199999809265137,,34.05934143066406,,46.5,55.0,10.300000190734863,0.006413463037461042,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1842777459,15 sep. 2018 11:53:23,Middagloop,Hardloopsessie,,2033,"6,42",,false,,activities/1842777459.gpx,0.0,,2033.0,2033.0,6428.2001953125,5.5,,31.700183868408203,,46.5,55.0,12.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
